"Date","Latitude","Longitude","Matrix","Subregion","esfenvalerate","cyfluthrin","bifenthrin"
1996-12-17,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-01-06,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-01-07,38.56696,-121.614,"water","North Delta",0,NA,NA
1997-02-06,38.56696,-121.614,"water","North Delta",0,NA,NA
1997-02-11,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-03-11,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-04-14,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-04-28,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-05-08,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-05-22,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-06-05,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-06-20,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-07-14,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-07-29,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-08-12,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-09-23,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-10-23,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-11-20,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1997-12-12,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1998-01-15,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1998-02-09,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1998-04-07,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1998-05-21,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1998-06-09,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1998-07-30,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
1998-08-13,38.45602,-121.50134,"water","Sacramento River",0,NA,NA
2003-02-24,38.5805556,-121.508611,"water","Sacramento River",NA,0,NA
2004-07-14,38.1527,-121.4989,"water","Central Delta",0,0,0
2004-07-21,37.82017,-121.405728,"water","South Delta",0,0,0
2004-07-21,37.8234,-121.2985,"water","South Delta",0,0,0
2004-07-21,37.8715,-121.5256,"water","Central Delta",0,0,0
2004-07-28,38.1527,-121.4989,"water","Central Delta",0,0,0
2004-08-03,37.82017,-121.405728,"water","South Delta",0,0,0
2004-08-03,37.8234,-121.2985,"water","South Delta",0,0,0
2004-08-03,37.8715,-121.5256,"water","Central Delta",0,0,0
2004-08-11,38.1527,-121.4989,"water","Central Delta",0,0,0
2004-08-17,37.82017,-121.405728,"water","South Delta",0,0,0
2004-08-17,37.8234,-121.2985,"water","South Delta",0,0,0
2004-08-17,37.8715,-121.5256,"water","Central Delta",0,0,0
2004-08-23,37.77341,-121.29245,"water","South Delta",0,0,0
2004-08-24,38.111179,-121.499527,"water","Central Delta",0,NA,NA
2004-08-25,38.1527,-121.4989,"water","Central Delta",0,0,0
2004-08-31,37.82017,-121.405728,"water","South Delta",0,0,0
2004-08-31,37.8234,-121.2985,"water","South Delta",0,0,0
2004-08-31,37.8715,-121.5256,"water","Central Delta",0,0,0
2004-09-08,38.1527,-121.4989,"water","Central Delta",0,0,0
2004-09-14,37.82017,-121.405728,"water","South Delta",0,0,0
2004-09-14,37.8234,-121.2985,"water","South Delta",0,0,0
2004-09-14,37.8715,-121.5256,"water","Central Delta",0,0,0
2004-09-23,38.111179,-121.499527,"water","Central Delta",0,NA,NA
2004-10-18,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2004-11-16,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2004-12-07,37.77341,-121.29245,"water","South Delta",0,0,0
2004-12-16,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2004-12-28,37.761,-121.28283,"water","South Delta",0,0,0
2005-01-03,37.761,-121.28283,"water","South Delta",0,0,0
2005-01-13,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2005-01-26,37.82017,-121.405728,"water","South Delta",0,0,0
2005-01-26,37.8234,-121.2985,"water","South Delta",0,0,0
2005-01-26,37.8715,-121.5256,"water","Central Delta",0,0,0
2005-01-27,37.82017,-121.405728,"water","South Delta",0,0,0
2005-01-27,37.8234,-121.2985,"water","South Delta",0,0,0
2005-01-27,37.8715,-121.5256,"water","Central Delta",0,0,0
2005-01-27,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2005-01-28,37.82017,-121.405728,"water","South Delta",0,0,0
2005-01-28,37.8234,-121.2985,"water","South Delta",0,0,0
2005-01-28,37.8715,-121.5256,"water","Central Delta",0,0,0
2005-01-29,37.82017,-121.405728,"water","South Delta",0,0,0
2005-01-29,37.8234,-121.2985,"water","South Delta",0,0,0
2005-01-29,37.8715,-121.5256,"water","Central Delta",0,0,0
2005-01-31,37.82017,-121.405728,"water","South Delta",0,0,0
2005-01-31,37.8234,-121.2985,"water","South Delta",0,0,0
2005-01-31,37.8715,-121.5256,"water","Central Delta",0,0,0
2005-02-03,37.82017,-121.405728,"water","South Delta",0,0,0
2005-02-03,37.8234,-121.2985,"water","South Delta",0,0,0
2005-02-03,37.8715,-121.5256,"water","Central Delta",0,0,0
2005-02-10,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2005-02-15,37.77341,-121.29245,"water","South Delta",0,0,0
2005-02-15,37.82017,-121.405728,"water","South Delta",0,0,0
2005-02-15,37.8234,-121.2985,"water","South Delta",0,0,0
2005-02-15,37.8715,-121.5256,"water","Central Delta",0,0,0
2005-02-16,37.82017,-121.405728,"water","South Delta",0,0,0
2005-02-16,37.82018,-121.5004,"water","South Delta",0,NA,NA
2005-02-16,37.8234,-121.2985,"water","South Delta",0,0,0
2005-02-16,37.842,-121.538,"water","Central Delta",0,NA,NA
2005-02-16,37.8715,-121.5256,"water","Central Delta",0,0,0
2005-02-16,37.88924,-121.61901,"water","Central Delta",0,NA,NA
2005-02-16,37.9256,-121.7091,"water","Confluence",0,NA,NA
2005-02-16,38.111179,-121.499527,"water","Central Delta",0,NA,NA
2005-02-16,38.1159,-121.4949,"water","Central Delta",0,NA,NA
2005-02-16,38.1167,-121.4211,"water","Central Delta",0,NA,NA
2005-02-16,38.1255,-121.48936,"water","Central Delta",0,NA,NA
2005-02-23,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2005-03-15,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2005-03-21,37.82018,-121.5004,"water","South Delta",0,NA,NA
2005-03-21,37.842,-121.538,"water","Central Delta",0,NA,NA
2005-03-21,37.88924,-121.61901,"water","Central Delta",0,NA,NA
2005-03-21,37.9256,-121.7091,"water","Confluence",0,NA,NA
2005-03-21,38.111179,-121.499527,"water","Central Delta",0,NA,NA
2005-03-21,38.1159,-121.4949,"water","Central Delta",0,NA,NA
2005-03-21,38.1167,-121.4211,"water","Central Delta",0,NA,NA
2005-03-21,38.1255,-121.48936,"water","Central Delta",0,NA,NA
2005-04-07,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2005-04-27,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2005-05-11,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2005-05-17,37.82018,-121.5004,"water","South Delta",0,NA,NA
2005-05-17,37.842,-121.538,"water","Central Delta",0,NA,NA
2005-05-17,37.88924,-121.61901,"water","Central Delta",0,NA,NA
2005-05-17,37.9256,-121.7091,"water","Confluence",0,NA,NA
2005-05-17,38.111179,-121.499527,"water","Central Delta",0,NA,NA
2005-05-17,38.1159,-121.4949,"water","Central Delta",0,NA,NA
2005-05-17,38.1167,-121.4211,"water","Central Delta",0,NA,NA
2005-05-17,38.1255,-121.48936,"water","Central Delta",0,NA,NA
2005-06-15,38.45602,-121.50134,"water","Sacramento River",NA,0,NA
2005-06-16,37.87696,-121.37645,"water","Central Delta",0,0,0
2005-06-21,37.82018,-121.5004,"water","South Delta",0,NA,NA
2005-06-21,37.842,-121.538,"water","Central Delta",0,NA,NA
2005-06-21,37.88924,-121.61901,"water","Central Delta",0,NA,NA
2005-06-21,37.9256,-121.7091,"water","Confluence",0,NA,NA
2005-06-21,38.111179,-121.499527,"water","Central Delta",0,NA,NA
2005-06-21,38.1159,-121.4949,"water","Central Delta",0,NA,NA
2005-06-21,38.1167,-121.4211,"water","Central Delta",0,NA,NA
2005-06-21,38.1255,-121.48936,"water","Central Delta",0,NA,NA
2005-06-30,37.87696,-121.37645,"water","Central Delta",0,0,0
2005-07-06,38.3491,-121.645,"water","North Delta",NA,0,0
2005-07-07,38.4157,-121.6752,"water","North Delta",NA,0,0
2005-07-07,38.57282,-121.58257,"water","North Delta",NA,0,0
2005-07-14,37.87696,-121.37645,"water","Central Delta",0,0,0
2005-07-14,37.94163,-121.3693,"water","Central Delta",0,0,0
